医療機関名称,郵便番号,住所
医療法人　飛龍会　福嶋クリニック,547-0024,大阪府大阪市平野区瓜破１－３－１２サンフレグランス１階
山口内科クリニック,547-0024,大阪府大阪市平野区瓜破５－２－２９
柳医院,547-0031,大阪府大阪市平野区平野南４－２－３
整形外科　ひろクリニック,547-0047,大阪府大阪市平野区平野元町９－２１クレードル
大谷クリニック,550-0003,大阪府大阪市西区京町堀１－９－９
奥町内科,550-0004,大阪府大阪市西区靱本町１－１１－７信濃橋三井ビル１Ｆ
医療法人　天方会　ＡＭＡＫＡＴＡ　ＣＬＩＮＩＣ,550-0005,大阪府大阪市西区西本町１－７－１９ワイダ本町ビル１階
医療法人良和会　松浦内科クリニック,550-0005,大阪府大阪市西区西本町３－１－１岡崎橋セントラルビル４階
慶生会クリニック大阪,550-0013,大阪府大阪市西区新町１－１８－１４ＪＳ四ツ橋ビル２階
いとう消化器クリニック,550-0015,大阪府大阪市西区南堀江１－２４－１
医療法人　厚生会　マイヘルスクリニック南堀江院,550-0015,大阪府大阪市西区南堀江３－１５－２６
柿原医院,551-0003,大阪府大阪市大正区千島１－１３－２３
医療法人愛信会　石村整形外科,551-0013,大阪府大阪市大正区小林西２－２－５
荘田診療所,551-0031,大阪府大阪市大正区泉尾１－８－１６
医療法人　天斗会　中山医院,552-0002,大阪府大阪市港区市岡元町２－４－１６
義元診療所,552-0004,大阪府大阪市港区夕凪２－１７－９
船員保険大阪健康管理センター,552-0021,大阪府大阪市港区築港１－８－２２
医療法人　優幸会　中村クリニック,553-0003,大阪府大阪市福島区福島７－６－２３－３０３
医療法人　健昌会　福島健康管理センター,553-0004,大阪府大阪市福島区玉川２－１２－１６
医療法人　桜峰会　本場診療所,553-0005,大阪府大阪市福島区野田１－１－８６大阪市中央卸売市場　管理棟４階
前田ファミリークリニック,553-0007,大阪府大阪市福島区大開３－１－２－１２６
公益財団法人　淀川勤労者厚生協会附属　伝法高見診療所,554-0001,大阪府大阪市此花区高見２－５－９
医療法人晴恵会　安田クリニック,554-0002,大阪府大阪市此花区伝法２－５－１
医療法人　寛友会　菊守耳鼻咽喉科,554-0014,大阪府大阪市此花区四貫島１－９－１０セントラルプラザ２Ｆ
公益財団法人　淀川勤労者厚生協会附属　此花診療所,554-0021,大阪府大阪市此花区春日出北１－１－２５
医療法人　板東医院,554-0022,大阪府大阪市此花区春日出中２－１８－２２
医療法人　田井内科クリニック,555-0001,大阪府大阪市西淀川区佃３－１９－１１ルネッサンスクレージュ１Ｆ
医療法人　大英診療所,555-0021,大阪府大阪市西淀川区歌島２－３－２
医療法人　黒川診療所,555-0025,大阪府大阪市西淀川区姫里１－２２－２３
社会医療法人　若弘会　わかこうかいクリニック,556-0005,大阪府大阪市浪速区日本橋４－７－１７
医療法人　徹仁会　木田内科消化器科クリニック,556-0011,大阪府大阪市浪速区難波中２－１０－７０　パークスタワー８階
医療法人　入野医院,556-0016,大阪府大阪市浪速区元町２－３－１９ＴＣＡビル４Ｆ
医療法人　岡藤会　岡藤クリニック,556-0021,大阪府大阪市浪速区幸町１－２－２
桜川よしえクリニック,556-0022,大阪府大阪市浪速区桜川２－２－３１ザクロコーポレーションビル１Ｆ
松崎智彦診療所,556-0022,大阪府大阪市浪速区桜川２－２－３１ザクロコーポレーション桜川ビル２階
医療法人　満領会　有田医院,556-0022,大阪府大阪市浪速区桜川４－１１－１６アリタビル１Ｆ
特定医療法人　ダイワ会　大和中央病院,557-0025,大阪府大阪市西成区長橋１－２－７
医療法人　希望の道　大村医院,557-0031,大阪府大阪市西成区鶴見橋３－４－２０
大阪きづがわ医療福祉生活協同組合　西成民主診療所,557-0034,大阪府大阪市西成区松２－１－７
医療法人　神子田医院,557-0052,大阪府大阪市西成区潮路１－１－１９
森本診療所,557-0055,大阪府大阪市西成区千本南１－２３－２４　ウィングス２１　１Ｆ
新居内科,558-0032,大阪府大阪市住吉区遠里小野１－１０－２４
こだまクリニック,558-0055,大阪府大阪市住吉区万代３－１２－５
なかのクリニック,559-0003,大阪府大阪市住之江区安立４－４－７
社会医療法人　三宝会　南港病院,559-0011,大阪府大阪市住之江区北加賀屋２－１１－９
（医）ただクリニック,559-0015,大阪府大阪市住之江区南加賀屋３－２－１８多田メディカルビル１階
池川医院,559-0017,大阪府大阪市住之江区中加賀屋２－１８－９
医療法人　ふくだクリニック,559-0017,大阪府大阪市住之江区中加賀屋３－１０－１８ドリーム中加賀屋２Ｆ
耳鼻咽喉科すぎたクリニック,559-0024,大阪府大阪市住之江区新北島１－２－１オスカードリーム５Ｆ
花田内科医院,559-0024,大阪府大阪市住之江区新北島３－７－１
整形外科　にしのクリニック,559-0033,大阪府大阪市住之江区南港中２－１－９９
医療法人　実有会　小松クリニック,559-0034,大阪府大阪府大阪市住之江区南港北１－１７－１９－３０４
滝広内科医院,560-0005,大阪府豊中市西緑丘３－２６－２８
菱谷医院,560-0012,大阪府豊中市上野坂１－６－１
仁科医院,560-0013,大阪府豊中市上野東１－３－２４
医療法人　緑和会　加地内科クリニック,560-0013,大阪府豊中市上野東３－８－２４
医療法人　ふじわら医院,560-0021,大阪府豊中市本町２－１－４５－１０１
医療法人　修和会　高橋内科胃腸科,560-0052,大阪府豊中市春日町４－２－１６－１０２　ライジング登代１階
医療法人　江本医院,560-0055,大阪府豊中市柴原町３－１０－１４
医療法人　春水会　おの泌尿器科クリニック,560-0082,大阪府豊中市新千里東町１－４－２千里ライフサイエンスセンタービル１０階
医療法人　鳥辺医院,560-0082,大阪府豊中市新千里東町３－５－４
医療法人　井上内科クリニック,560-0085,大阪府豊中市上新田１－１０－２８サイドヒルコート１０１
ちさきこどもクリニック,560-0085,大阪府豊中市上新田３－１０－３８
畑診療所,561-0021,大阪府豊中市本町４－１－２２第１５千里ビル２０４
重原内科小児科医院,561-0816,大阪府豊中市豊南町西３－３－１司マンション１０５号
医療法人　大野医院,561-0833,大阪府豊中市庄内幸町１－９－１６
城医院,561-0833,大阪府豊中市庄内幸町２－１２－４
医療法人　衣川医院,561-0864,大阪府豊中市夕日丘１－３－１２
医療法人　愛慈会　田中医院,561-0881,大阪府豊中市中桜塚２－２－２
医療法人　島越内科,561-0881,大阪府豊中市中桜塚２－２５－９
さとう医院,561-0881,大阪府豊中市中桜塚５－２０－３８
秦内科クリニック,561-0885,大阪府豊中市岡町６－１７
医療法人社団　ＤＥＮ　みいクリニックみのお,562-0001,大阪府箕面市箕面６－７－４５－２Ｆ
医療法人　中西医院,562-0044,大阪府箕面市半町４－１－２７
つのおか循環器内科クリニック,563-0048,大阪府池田市呉服町１－１－１３６サンシティ池田１階
医療法人優美会　吉井クリニック,564-0051,大阪府吹田市豊津町１－２１エサカ中央ビル５階
医療法人　修孝会　林内科,564-0052,大阪府吹田市広芝町１０－４０（ＴＥＫ第１ビル３階）
大阪健康倶楽部　小谷診療所,564-0063,大阪府吹田市江坂町４－１０－１
井波医院,564-0082,大阪府吹田市片山町３－３７－３
さたけ内科クリニック,565-0836,大阪府吹田市佐井寺４－１１－１６
井上クリニック,565-0841,大阪府吹田市上山手町２１－２８
くもい耳鼻咽喉科,565-0842,大阪府吹田市千里山東４－６－１０ウェストフィールド７　１階　１号室
西村クリニック,565-0863,大阪府吹田市竹見台４－２－６
医療法人　千里丘協立診療所,566-0011,大阪府摂津市千里丘東２－１２－１０
医療法人　やまもとクリニック,567-0816,大阪府茨木市永代町７－１０川崎ビル２階
医療法人　崇孝会　北摂クリニック,567-0826,大阪府茨木市大池１－１０－３７
医療法人　領愛会　大嶋クリニック,567-0829,大阪府茨木市双葉町８－１９
医療法人　進純会　さいとう内科クリニック,569-0055,大阪府高槻市西冠１－１２－８たかつき西冠ビル１階
医療法人　かとうクリニック,569-0081,大阪府高槻市宮野町３－１２サニープラザ南館
澤木内科・糖尿病クリニック,569-0804,大阪府高槻市紺屋町１－１－５０１Ａグリーンプラザたかつき１号館５階
医療法人　入江会　末吉クリニック,569-0811,大阪府高槻市東五百住町３－７－２０
医療法人　庸愛会　富田町病院,569-0814,大阪府高槻市富田町６－１０－１
医療法人　島津会　宮田診療所,569-1142,大阪府高槻市宮田町２－５－２８
社会医療法人　愛仁会　愛仁会総合健康センター,569-1143,大阪府高槻市幸町４－３
けいはん医療生活協同組合　さつき診療所,570-0032,大阪府守口市菊水通３－２－５
医療法人　杉島医院,570-0037,大阪府守口市大枝北町１０－３
医療法人　祥輝会　冨樫クリニック,571-0002,大阪府門真市岸和田３－１－２６
医療法人　清水会　門真クリニック　あいわ診療所,571-0048,大阪府門真市新橋町２－１２
けいはん医療生活協同組合　みどり診療所,571-0072,大阪府門真市城垣町２－３３
西田クリニック,572-0004,大阪府寝屋川市成田町２５－２
医療法人　協仁会　小松病院　健康管理センター,572-0015,大阪府寝屋川市川勝町８－２
けいはん医療生活協同組合　みい診療所,572-0019,大阪府寝屋川市三井南町２０－１７
医療法人　たかはし内科・循環器内科,572-0048,大阪府寝屋川市大利町２１－２寝屋川大利メディカルガーデンズ３Ｆ
医療法人　道仁会　道仁病院,572-0076,大阪府寝屋川市仁和寺本町３－９－６
はらだ内科クリニック,572-0838,大阪府寝屋川市八坂町１５－８中川ビル２Ｆ
一般財団法人　大阪府結核予防会　大阪複十字病院,572-0850,大阪府寝屋川市打上高塚町３－１０
医療法人春陽会　稲垣医院,573-0027,大阪府枚方市大垣内町１－１－５
医療法人　敬節会　敬節クリニック,573-0032,大阪府枚方市岡東町１２－３－４０２
医療法人　愛成会　愛成クリニック,573-0048,大阪府枚方市山之上西町３２－１５
中村医院,573-1107,大阪府枚方市楠葉中町４４－２３
医）貴和会　奥田クリニック,573-1191,大阪府枚方市新町１－７－７
医療法人　宏優会　たなか内科・循環器内科,573-1197,大阪府枚方市禁野本町２－７－２６－１０１
医療法人　皆秀会　皆川クリニック,574-0011,大阪府大東市北条１－５－３０
医療法人　桜美会　桜本外科・胃腸内科,574-0011,大阪府大東市北条２－９－１８
医療法人　荒矢会　あらや診療所,574-0025,大阪府大東市御供田５－６－２３
医療法人真輝会　浅田クリニック,574-0046,大阪府大東市赤井１－３－２３シャンテ三船Ⅲ１階
西村クリニック,575-0023,大阪府四條畷市楠公１－１４－６梨岡ハイツ１階
医療法人　河野医院,575-0023,大阪府四條畷市楠公２－１０－１２
医療法人　医翔会　おがわクリニック,576-0041,大阪府交野市私部西２－６－１メディカルテラスかたの１Ｆ
医療法人仁修会　城野内科医院,577-0013,大阪府東大阪市長田中１－１－５
おくだ内科医院,577-0013,大阪府東大阪市長田中１－５－１９エリスハイム田中１Ｆ
医療法人　総仁会　しのづかひらた医院,577-0034,大阪府東大阪市御厨南１－１－１２ユニティハウス１階
医療法人　青和会　みずしま内科クリニック,577-0054,大阪府東大阪市高井田元町１－３－１
医療法人　近藤医院,577-0056,大阪府東大阪市長堂１－２－５
医療法人　酒井医院,577-0807,大阪府東大阪市菱屋西２－７－１６
医療法人　竹村内科,577-0807,大阪府東大阪市菱屋西３－４－３２
（医）倫友会　岡本内科医院,577-0824,大阪府東大阪市大蓮東３－３－３
医療法人　宏西会　西岡ファミリークリニック,578-0922,大阪府東大阪市松原１－１６－３４
医療法人　橋村医院,578-0981,大阪府東大阪市島之内２－１２－３
中川内科クリニック,579-8003,大阪府東大阪市日下町３－５－３０
和田診療所,579-8027,大阪府東大阪市東山町４－８Ｗ・Ｓ百光ビル１階Ｂ号
箕浦医院,580-0032,大阪府松原市天美東６－１８－３７
医療法人慈奨会　いしはまクリニック,580-0043,大阪府松原市阿保３－８－２１
医療法人　孝德会　徳田診療所,581-0022,大阪府八尾市柏村町４－３０８－１
堀谷診療所,581-0803,大阪府八尾市光町１－７
医療法人永光会　新井クリニック,581-0818,大阪府八尾市美園町４－１０９－３
八尾北医療センター,581-0823,大阪府八尾市桂町６－１８－１
なんぽう腎・泌尿器科クリニック,583-0012,大阪府藤井寺市道明寺２－５－２５
医療法人　鳥居医院,583-0017,大阪府藤井寺市藤ケ丘１－１２－１６
医療法人ラポール会　青山藤ヶ丘病院,583-0017,大阪府藤井寺市藤ヶ丘３－１３－１６
医療法人　中平医院,584-0025,大阪府富田林市若松町西１－１８４５－３
医療法人　江村医院,584-0031,大阪府富田林市寿町２－３－２
長﨑内科医院,586-0009,大阪府河内長野市木戸西町２－１－１６
医療法人　なみかわクリニック,586-0024,大阪府河内長野市西之山町１－２２
矢ヶ﨑小児科・アレルギー科,586-0048,大阪府河内長野市三日市町５６－１６高岸ビル３Ｆ
医療法人　森クリニック,587-0001,大阪府堺市美原区大保１６－１
永田医院,589-0009,大阪府大阪狭山市池尻北２－２３－１１
医療法人　おがわクリニック,589-0022,大阪府大阪狭山市西山台３－１５－８
長尾クリニック,589-0022,大阪府大阪狭山市西山台３－５－２０
かねしろ　クリニック,590-0013,大阪府堺市堺区東雲西町１－１－１１ＪＲ堺市駅ＮＫビル１階
一般財団法人　大阪府結核予防会　堺複十字診療所,590-0028,大阪府堺市堺区三国ケ丘御幸通５９高島屋堺店内５階
いしだ医院,590-0048,大阪府堺市堺区一条通１５－２５
大住医院,590-0063,大阪府堺市堺区中安井町２－１－１
医療法人　健生医心会　くわ総合クリニック,590-0113,大阪府堺市南区晴美台２－３５－１０
長束クリニック,590-0503,大阪府泉南市新家６３０－４
松浦クリニック,590-0947,大阪府堺市堺区熊野町西３－２－３
医療法人　あさか会　あさかクリニック,591-8008,大阪府堺市北区東浅香山町２丁３４８－１
うめむら医院,591-8032,大阪府堺市北区百舌鳥梅町３丁１－６
医療法人　中山内科医院,591-8032,大阪府堺市北区百舌鳥梅町３丁２１－７
近江内科,592-8348,大阪府堺市西区浜寺諏訪森町中３丁２４４－１０
上野内科医院,593-8305,大阪府堺市西区堀上緑町２－２－１
医療法人　岡原クリニック,593-8322,大阪府堺市西区津久野町３－２７－５０
医療法人　幸真会　とうじょうクリニック,594-0013,大阪府和泉市鶴山台１－２４－６
医療法人石黎会　石田こどもクリニック,594-0041,大阪府和泉市いぶき野５－１－２ＰＩＶＯ和泉中央２Ｆ
（医）　久我胃腸科内科,594-0071,大阪府和泉市府中町７－５－３
和気河合医院,594-0073,大阪府和泉市和気町３－１１－１８
原田内科クリニック,594-1153,大阪府和泉市青葉台２－１９－２
吉田内科クリニック,595-0005,大阪府泉大津市森町１－３－２５
医療法人　順興会　上條診療所,595-0005,大阪府泉大津市森町２－３－８
助松団地診療所,595-0007,大阪府泉大津市助松団地３－１１
かやのき内科医院,595-0046,大阪府泉大津市上之町６－２３
永野医院,595-0046,大阪府泉大津市上之町７－３４
医療法人社団　ＥＭＩＦＵＬＬ　ただおかメディカルクリニック,595-0805,大阪府泉北郡忠岡町忠岡東１－３９－２９
医療法人　久生会　くめがわ医院,596-0001,大阪府岸和田市磯上町３－１３－５
津田診療所,596-0042,大阪府岸和田市加守町２－７－５
大澤内科,596-0048,大阪府岸和田市上野町西１１－２１
医療法人社団　ナイズ　キャップスクリニック　東岸和田,596-0825,大阪府岸和田市土生町２－３２－３９そよら東岸和田２Ｆ
医療法人　なかたクリニック,597-0001,大阪府貝塚市近木２０－２４
磯部胃腸科内科,597-0003,大阪府貝塚市中７８８
黒瀬クリニック,597-0003,大阪府貝塚市中町１２番３－１０２号
あおやまＹＯＵクリニック,597-0072,大阪府貝塚市畠中１－２－５
社会医療法人慈薫会　河崎病院,597-0104,大阪府貝塚市水間２４４
医療法人財団　医親会　りんくうタウンクリニック,598-0048,大阪府泉佐野市りんくう往来北１りんくうゲートタワービル８階
医療法人　津山医院,599-0311,大阪府泉南郡岬町多奈川谷川２５９９－１
医療法人中村診療所,599-8125,大阪府堺市東区西野４９２－２
南波クリニック,599-8236,大阪府堺市中区深井沢町３２８７辻尾ビル３階
片山土師診療所,599-8238,大阪府堺市中区土師町３－２６－２６
上野医院,599-8241,大阪府堺市中区福田５４０－５
医療法人　仏光会　小西仏光寺診療所,600-8074,京都府京都市下京区仏光寺通柳馬場西入東前町３９８
四条高倉大川クリニック,600-8096,京都府京都市下京区東洞院通仏下ル高橋町６０４
医療法人　健康会　内浜診療所,600-8146,京都府京都市下京区七条通河原町東入材木町４６０
医療法人　創健会　西村診療所,600-8216,京都府京都市下京区烏丸通塩小路下ル東塩小路町９０１ホテルグランヴィア京都３Ｆ
医療法人社団　和田クリニック,600-8216,京都府京都市下京区塩小路通東洞院東入東塩小路町５４７－３明石屋ビル２Ｆ
医療法人　川口内科医院,600-8223,京都府京都市下京区七条通油小路東入大黒町２５３
社会医療法人　健康会　第二南診療所,600-8344,京都府京都市下京区東中筋通花屋町下ル柳町３３２
医療法人　健康会　千本診療所,600-8835,京都府京都市下京区観喜寺町１０－１５
医療法人　大築山診療所,601-8206,京都府京都市南区久世大薮町１９６－１
医療法人　しばじクリニック,601-8452,京都府京都市南区唐橋堂ノ前町２３－１洛南スクエアビル２階
大矢医院,601-8474,京都府京都市南区四ツ塚町１
伊東医院,603-8316,京都府京都市北区衣笠北荒見町９－１イーグルコート北大路アネックス１０１号
藤本医院,603-8487,京都府京都市北区大北山原谷乾町２０７－３
医療法人究理堂　小石医院,604-0094,京都府京都市中京区釜座通竹屋町下ル亀屋町３３５
医療法人　鳥居内科,604-0837,京都府京都市中京区瓦之町３９１シンフォニア御池４階
ナガイ医院,604-0903,京都府京都市中京区河原町夷川上ル指物３３４－２
一般財団法人　大和松寿会　中央診療所,604-8111,京都府京都市中京区三条通高倉東入桝屋町５８番地・５６番地
新屋医院,604-8132,京都府京都市中京区高倉通三条下る丸屋町１６６－６
医療法人社団青樹会　青木クリニック,604-8147,京都府京都市中京区六角通東洞院東入ロイヤルプラザビル１階
医療法人大和英寿会　大和健診センター,604-8171,京都府京都市中京区虎屋町５７７番地２太陽生命御池ビル７・８・９Ｆ
かねみつクリニック,604-8418,京都府京都市中京区西ノ京東栂尾町３ＪＲ二条駅ＮＫビル３Ｆ
かないつか医院,604-8461,京都府京都市中京区西ノ京中保町１８
一般財団法人　京都工場保健会診療所,604-8472,京都府京都市中京区西ノ京北壺井町６７
中村クリニック,605-0817,京都府京都市東山区松原通大和大路東入弓矢町４８
医療法人　西川医院,606-0004,京都府京都市左京区岩倉北池田町６７－４
三浦診療所,606-0862,京都府京都市左京区下鴨本町１２－４
もりした循環器科クリニック,606-8277,京都府京都市左京区北白川堂ノ前町３６
堺医院,607-8034,京都府京都市山科区四ノ宮泓３－４
たきもと内科クリニック,607-8135,京都府京都市山科区大塚野溝町８６－２
医療法人社団　片岡医院,607-8412,京都府京都市山科区御陵四丁野町６５－２
医療法人社団　コクラ医院,610-0102,京都府城陽市久世下大谷１８－１１１
医療法人　清福会　安見内科医院,610-0117,京都府城陽市枇杷庄鹿背田３７－９
医療法人社団　石鎚会　石丸医院,610-0332,京都府京田辺市興戸南落延２３
とだ循環器内科クリニック,611-0025,京都府宇治市神明宮北３２
医療法人　西村医院,612-0846,京都府京都市伏見区深草大亀谷万帖敷町９０
医療法人　健康会　伏見診療所,612-8089,京都府京都市伏見区銀座３－３１８
医療法人　健康会　三栖診療所,612-8227,京都府京都市伏見区三栖向町７６０
福島内科医院,612-8401,京都府京都市伏見区深草下川原町５１－５
医療法人社団　弘田医院,612-8438,京都府京都市伏見区深草フチ町１４－２
医療法人　創健会　コストコ京都八幡倉庫店クリニック,614-8294,京都府八幡市欽明台北５
医療法人　清祥会　川上内科,614-8297,京都府八幡市欽明台西２０－６
大森医院,614-8327,京都府八幡市橋本栗ケ谷２６－１５５
大塚産婦人科医院,614-8367,京都府八幡市男山長沢１８－９
医療法人　健康会　西京極診療所,615-0813,京都府京都市右京区西京極佃田町１７
坂本内科クリニック,615-8074,京都府京都市西京区桂南巽町１４６グラシューズ桂３Ｆ
医療法人社団　太田診療所,616-8042,京都府京都市右京区花園伊町６
医療法人　花房医院,616-8057,京都府京都市右京区花園木辻南町２８－２
医療法人社団　寿光会　竹腰医院,616-8095,京都府京都市右京区御室芝橋町６－１９
医療法人社団　小室整形外科医院,616-8313,京都府京都市右京区嵯峨野開町２１
耳鼻咽喉科・アレルギー科　森戸医院,616-8317,京都府京都市右京区嵯峨野神ノ木町１０－１０
医療法人　恵洋会　岩本医院,617-0002,京都府向日市寺戸町向畑５７－３
医療法人きくおかクリニック,617-0002,京都府向日市寺戸町殿長１９－１
鈴木内科・外科診療所,617-0006,京都府向日市上植野町円山１２－５
医療法人　医修会　新河端病院,617-0825,京都府長岡京市一文橋２－３１－１
医療法人社団　くぼた医院,617-0828,京都府長岡京市馬場見場走り２５－３
くろだクリニック,619-0218,京都府木津川市城山台７－４３－３
あさの内科クリニック,619-0225,京都府木津川市木津川台７－１－３
医療法人　松山内科循環器科医院,620-0035,京都府福知山市字内記４１－６
医療法人　至誠会　古木内科医院,620-0815,京都府福知山市長山町４５９－９９
医療法人　吉岡整形外科医院,621-0803,京都府亀岡市河原町１９２
医療法人　稲天会　大森内科診療所,629-2263,京都府与謝郡与謝野町字弓木１５２８－２
医療法人　生火会　松宮医院,630-0244,奈良県生駒市東松ケ丘１７－８
社会医療法人　平和会　いこま駅前クリニック,630-0256,奈良県生駒市本町７－１０
医療法人　田村医院,630-8014,奈良県奈良市四条大路１－７－１９
福山医院,630-8024,奈良県奈良市尼辻中町１１－３
医療法人　庄野整形外科,630-8043,奈良県奈良市六条２－１９－８
北山医院,630-8114,奈良県奈良市芝辻町１－９－５
陽クリニック,630-8115,奈良県奈良市大宮町４－２４１－１
森井小児科医院,630-8332,奈良県奈良市元興寺町３２
医療法人　寺崎クリニック,630-8341,奈良県奈良市南城戸町６７
中登美診療所,631-0003,奈良県奈良市中登美ヶ丘１－１９９４－３－Ｄ１６－１
なかた整形外科,631-0013,奈良県奈良市中山町西４－４５６－１学園前Ｔ．Ｓビル１０１号
医療法人　おがわ小児科診療所,631-0021,奈良県奈良市鶴舞東町２－２６
衞藤医院,631-0034,奈良県奈良市学園南１－１－１７
医療法人　小嶌診療所,631-0034,奈良県奈良市学園南３－４－２４
医療法人　つるた内科,631-0041,奈良県奈良市学園大和町５－１１７
後藤医院,631-0805,奈良県奈良市右京３－１９－１
すくすくこどもクリニック,631-0842,奈良県奈良市菅原町６４８－１
医療法人　幸仁会　木下医院,633-0054,奈良県桜井市阿部５５０
羽田医院,633-0066,奈良県桜井市西之宮２２８－３５
医療法人　菊川内科医院,633-0091,奈良県桜井市桜井８６９番地１
笠原内科医院,634-0051,奈良県橿原市白橿町２－３１－１２
吉岡医院,634-0078,奈良県橿原市八木町２－２－１８
医療法人　菊川医院,634-0803,奈良県橿原市上品寺町３８０－２２
井上クリニック,634-0804,奈良県橿原市内膳町１－１－１１Ｕ遊タウンビル１階
医療法人　芳隆会　八嶌医院,634-0804,奈良県橿原市内膳町２－１－３０
（医）藤井会　ふじい内科医院,634-0831,奈良県橿原市曽我町８４９－３
牧浦医院,636-0204,奈良県磯城郡川西町唐院４３－１
田畑医院,637-0082,奈良県五條市中之町１６１７－１
ゆりクリニック,639-0214,奈良県北葛城郡上牧町大字上牧３３３６－５
西本内科,639-0266,奈良県香芝市旭ケ丘４－２－１
（医）おざきクリニック,639-1001,奈良県大和郡山市九条町１３１１－１
八木医院,639-1031,奈良県大和郡山市今国府町１８３－１
牧浦内科,639-1037,奈良県大和郡山市額田部北町４７９－３
善本内科クリニック,639-1131,奈良県大和郡山市野垣内町２－２第７号棟第１２１号室
松本内科クリニック,639-1132,奈良県大和郡山市高田町９２－１４ハーベス２Ｆ
医療法人　鵜山医院,639-2147,奈良県葛城市新庄１６
医療法人　瑞仁会　浅江胃腸科,640-0416,和歌山県紀の川市貴志川町長山２７７－２１４
医療法人　祥淳会　松平ハタ医科歯科クリニック,640-8135,和歌山県和歌山市鷹匠町１－６０
医療法人　巨周会　喜多クリニック和歌山診療所,640-8269,和歌山県和歌山市小松原通１－１－１１大岩ビル３Ｆ
医療法人　西村会　向陽病院,640-8315,和歌山県和歌山市津秦４０
土井内科胃腸科,640-8316,和歌山県和歌山市有家２４９－１６
木広町クリニック,640-8328,和歌山県和歌山市木広町５－１－１２
医療法人　裕真会　下間クリニック,640-8464,和歌山県和歌山市市小路４０２
黒田内科医院,640-8481,和歌山県和歌山市直川１－８
山口医院,641-0014,和歌山県和歌山市毛見２９５－２１
医療法人さくら会　さくらクリニック,642-0032,和歌山県海南市名高１４０－１
いぬい内科呼吸器内科クリニック,642-0032,和歌山県海南市名高５３９－１８岩崎ビル１Ｆ
平山内科皮膚泌尿科,643-0004,和歌山県有田郡湯浅町湯浅４５９
Ｔ－ｃｕｂｅメディカルクリニック,644-0011,和歌山県御坊市湯川町財部６４６－１１
御坊なかむらクリニック,644-0011,和歌山県御坊市湯川町財部７１５
中島医院,644-0012,和歌山県御坊市湯川町小松原３８０－１１
医療法人　平成会　森本医院,644-0041,和歌山県日高郡美浜町田井３１３－１
医療法人　大原内科,644-0044,和歌山県日高郡美浜町和田１１３８－１０４
谷地内科医院,647-0081,和歌山県新宮市新宮字馬町５５４－１大橋通りＴビル１Ｆ
いわくらクリニック,648-0094,和歌山県橋本市三石台１－３－１１フォレストＢ棟１０２号
医療法人　曽和医院,648-0096,和歌山県橋本市御幸辻２１８－３
医療法人　三徳会　かわむら医院,649-0101,和歌山県海南市下津町下津７８５－２
医療法人　健仁会　三谷医院,649-2211,和歌山県西牟婁郡白浜町１３９６－５
伊藤内科,649-6235,和歌山県岩出市西野１９０－１
宮井内科,649-6416,和歌山県紀の川市上野１３－１０
医）紫英会循環器内科するたクリニック,649-6416,和歌山県紀の川市上野７８－１
たつみクリニック,650-0001,兵庫県神戸市中央区加納町２－９－１４
医療法人社団　伍仁会　岡本クリニック,650-0021,兵庫県神戸市中央区三宮町１－１０－１神戸交通センタービル７Ｆ
サナシオクリニック,650-0021,兵庫県神戸市中央区三宮町１－４－４木口ビル３階
内科・循環器科　米田クリニック,650-0024,兵庫県神戸市中央区海岸通４新明海ビル４階
木村内科,650-0025,兵庫県神戸市中央区相生町３－１－２
ファミリアメディカル神戸クリニック,650-0038,兵庫県神戸市中央区西町３３－２
医療法人社団　福本クリニック,650-0044,兵庫県神戸市中央区東川崎町１－７－４ダイヤニッセイビル７階
医療法人財団春日野会　春日野会病院,651-0054,兵庫県神戸市中央区野崎通４－１－２
ＨＡＴ神戸つじ内科,651-0073,兵庫県神戸市中央区脇浜海岸通２－２－３　ケーズデンキ３Ｆ
岡クリニック,651-0092,兵庫県神戸市中央区生田町１－４－１ショダリ２１－６Ｆ
医療法人社団　旭診療所,651-0095,兵庫県神戸市中央区旭通２－４－５－１０１
内橋内科医院,651-1412,兵庫県西宮市山口町下山口４－１４－２５
しげやま内科クリニック,651-2113,兵庫県神戸市西区伊川谷町有瀬１０５２－１
医療法人社団百聞会　長谷川医院,651-2144,兵庫県神戸市西区小山１－３－２７
中神クリニック,651-2272,兵庫県神戸市西区狩場台３－９－８
（医）マスイ耳鼻咽喉科,651-2273,兵庫県神戸市西区糀台５－１０－２西神センタービル２Ｆ
医療法人社団　大有会　井上病院,652-0046,兵庫県神戸市兵庫区上沢通３－１－４
医療法人一輝会　荻原記念病院,653-0037,兵庫県神戸市長田区大橋町７－１－１
医療法人社団　医純会　たかなが皮フ科・アレルギー科・形成外科,654-0131,兵庫県神戸市須磨区横尾１－８
清水クリニック,655-0006,兵庫県神戸市垂水区本多聞６－２８－２３
山口医院,655-0044,兵庫県神戸市垂水区舞子坂３－５－８
秋山医院,655-0046,兵庫県神戸市垂水区舞子台２－９－３０－１０２
森医院,655-0872,兵庫県神戸市垂水区塩屋町４－２５－１９
高橋内科医院,656-0054,兵庫県洲本市宇原２２４３
社会医療法人社団　順心会　順心淡路病院,656-2156,兵庫県淡路市大町下６６－１
社会福祉法人　聖隷福祉事業団　聖隷淡路病院,656-2306,兵庫県淡路市夢舞台１－１
